"plot","ratio","type","file","fileID","set85id","graphtype","kit","nickname","participantUnique","appStartTime","plotStartTime","plotEndTime","plot3dClicks","whichIsSmaller","byHowMuch","graphCorrecter","Height","response","subject","ratioLabel"
"3dPrint",2,1,"data/pilot/Set85/id-05/Type3-Rep01",10,5,"Type3",12,"bf41afaa31fb2787c7b74f1fbb97b143","1811472120114",1681324428.94234,1681324479.90651,1681324487.20345,0,"Triangle (▲)",34.6,"",0.383118684955729,1.93992931901001,"bf41afaa31fb2787c7b74f1fbb97b1431811472120114",38.3
"3dPrint",1,2,"data/pilot/Set85/id-04/Type1-Rep01",7,4,"Type1",12,"bf41afaa31fb2787c7b74f1fbb97b143","1811472120114",1681324428.94234,1681324493.43542,1681324501.09285,0,"Triangle (▲)",40.9,"",0.464158883361278,2.49592237844088,"bf41afaa31fb2787c7b74f1fbb97b1431811472120114",46.4
"3dPrint",3,2,"data/pilot/Set85/id-09/Type1-Rep01",13,9,"Type1",12,"bf41afaa31fb2787c7b74f1fbb97b143","1811472120114",1681324428.94234,1681324507.342,1681324514.00056,0,"Triangle (▲)",95.7,"",0.825404185268019,3.73168087175207,"bf41afaa31fb2787c7b74f1fbb97b1431811472120114",82.5
"2dDigital",3,2,"data/pilot/Set85/id-09/Type1-Rep01",13,9,"Type1",12,"bf41afaa31fb2787c7b74f1fbb97b143","1811472120114",1681324428.94234,1681324514.06316,1681324521.86137,0,"Triangle (▲)",97.2,NA,0.825404185268019,3.88602149863725,"bf41afaa31fb2787c7b74f1fbb97b1431811472120114",82.5
"3dDigital",6,2,"data/pilot/Set85/id-06/Type1-Rep01",11,6,"Type1",12,"bf41afaa31fb2787c7b74f1fbb97b143","1811472120114",1681324428.94234,1681324521.94632,1681324528.92603,1,"Triangle (▲)",13.8,NA,0.261015721568254,3.63535648183561,"bf41afaa31fb2787c7b74f1fbb97b1431811472120114",26.1
"3dDigital",2,2,"data/pilot/Set85/id-05/Type1-Rep01",9,5,"Type1",12,"bf41afaa31fb2787c7b74f1fbb97b143","1811472120114",1681324428.94234,1681324528.99887,1681324537.46172,1,"Triangle (▲)",33.5,NA,0.383118684955729,2.30359621621296,"bf41afaa31fb2787c7b74f1fbb97b1431811472120114",38.3
"3dPrint",6,2,"data/pilot/Set85/id-06/Type1-Rep01",11,6,"Type1",12,"bf41afaa31fb2787c7b74f1fbb97b143","1811472120114",1681324428.94234,1681324542.9368,1681324550.65357,0,"Triangle (▲)",18.4,"",0.261015721568254,2.96838058144263,"bf41afaa31fb2787c7b74f1fbb97b1431811472120114",26.1
"2dDigital",2,1,"data/pilot/Set85/id-05/Type3-Rep01",10,5,"Type3",12,"bf41afaa31fb2787c7b74f1fbb97b143","1811472120114",1681324428.94234,1681324550.73142,1681324556.26197,0,"Triangle (▲)",22.7,NA,0.383118684955729,3.97607658011774,"bf41afaa31fb2787c7b74f1fbb97b1431811472120114",38.3
"3dDigital",3,2,"data/pilot/Set85/id-09/Type1-Rep01",13,9,"Type1",12,"bf41afaa31fb2787c7b74f1fbb97b143","1811472120114",1681324428.94234,1681324556.31363,1681324563.26891,1,"Triangle (▲)",90.5,NA,0.825404185268019,3.0151730894478,"bf41afaa31fb2787c7b74f1fbb97b1431811472120114",82.5
"3dDigital",1,1,"data/pilot/Set85/id-04/Type3-Rep01",8,4,"Type3",12,"bf41afaa31fb2787c7b74f1fbb97b143","1811472120114",1681324428.94234,1681324563.34252,1681324573.40789,1,"Triangle (▲)",41.6,NA,0.464158883361278,2.30477045130555,"bf41afaa31fb2787c7b74f1fbb97b1431811472120114",46.4
